Dia_Def,acumulados anunciados,nuevos anunciados
2,1,1
3,2,1
4,2,0
5,2,0
6,4,2
7,5,1
8,6,1
9,8,2
10,12,4
11,16,4
12,20,4
13,28,8
14,29,1
15,37,8
16,50,13
17,60,10
18,79,19
19,94,15
20,125,31
21,141,16
22,174,33
23,194,20
24,233,39
25,273,40
26,296,23
27,332,36
28,406,74
29,449,43
30,486,37
31,546,60
32,650,104
33,686,36
34,712,26
35,857,145
36,970,113
37,1069,99
38,1221,152
39,1305,84
40,1351,46
41,1434,83
42,1569,135
43,1732,163
44,1859,127
45,1972,113
46,2061,89
47,2154,93
48,2271,117
49,2507,236
50,2704,197
51,2961,257
52,3160,199
53,3353,193
54,3465,112
55,3573,108
56,3926,353
57,4220,294
58,4477,257
59,4767,290
60,5045,278
61,5177,132
62,5332,155
63,5666,334
64,6090,424
65,6510,420
66,6989,479
67,7179,190
68,7394,215
69,7633,239
70,8134,501
71,8597,463
72,9044,447
73,9415,371
74,9779,364
75,9930,151
76,10167,237
77,10637,470
78,11729,1092
79,12545,816
80,13170,625
81,13511,341
82,13699,188
83,14053,354
84,14649,596
85,15357,708
86,15944,587
87,16448,504
88,16872,424
89,17141,269
90,17580,439
91,18310,730
92,19080,770
93,19747,667
94,20394,647
95,20781,387
96,21825,1044
97,22584,759
98,23377,793
99,24324,947
100,25060,736
101,25779,719
102,26381,602
103,26648,267
104,27121,473
105,27769,648
106,28510,741
107,29189,679
108,29843,654
109,30366,523
